Jaar,Gemeenten,Woningdichtheid
2017,Someren,98.0
2018,Someren,99.0
2019,Someren,100.0
2017,Son en Breugel,269.0
2018,Son en Breugel,272.0
2019,Son en Breugel,274.0
2017,Stadskanaal,130.0
2018,Stadskanaal,130.0
2019,Stadskanaal,130.0
2017,Staphorst,43.0
2018,Staphorst,44.0
2019,Staphorst,44.0
2017,Stede Broec,622.0
2018,Stede Broec,629.0
2019,Stede Broec,635.0
2017,Steenbergen,70.0
2018,Steenbergen,70.0
2019,Steenbergen,71.0
2017,Steenwijkerland,68.0
2018,Steenwijkerland,69.0
2019,Steenwijkerland,69.0
2017,Stein (L.),553.0
2018,Stein (L.),555.0
2019,Stein (L.),558.0
2017,Stichtse Vecht,289.0
2018,Stichtse Vecht,293.0
2019,Stichtse Vecht,294.0
2017,Strijen,78.0
2018,Strijen,78.0
2017,Súdwest-Fryslân,86.0
2018,Súdwest-Fryslân,80.0
2019,Súdwest-Fryslân,80.0
2017,Terneuzen,107.0
2018,Terneuzen,107.0
2019,Terneuzen,108.0
2017,Terschelling,27.0
2018,Terschelling,27.0
2019,Terschelling,27.0
2017,Texel,40.0
2018,Texel,40.0
2019,Texel,41.0
2017,Teylingen,531.0
2018,Teylingen,547.0
2019,Teylingen,549.0
2017,Tholen,73.0
2018,Tholen,73.0
2019,Tholen,74.0
2017,Tiel,542.0
2018,Tiel,544.0
2019,Tiel,548.0
2017,Tilburg,821.0
2018,Tilburg,840.0
2019,Tilburg,852.0
2017,Tubbergen,57.0
2018,Tubbergen,58.0
2019,Tubbergen,58.0
2017,Twenterand,128.0
2018,Twenterand,129.0
2019,Twenterand,129.0
2017,Tynaarlo,99.0
2018,Tynaarlo,99.0
2019,Tynaarlo,101.0
2017,Tytsjerksteradiel,92.0
2018,Tytsjerksteradiel,93.0
2019,Tytsjerksteradiel,94.0
2017,Uden,272.0
2018,Uden,276.0
2019,Uden,279.0
2017,Uitgeest,292.0
2018,Uitgeest,293.0
2019,Uitgeest,294.0
2017,Uithoorn,701.0
2018,Uithoorn,714.0
2019,Uithoorn,709.0
2017,Urk,548.0
2018,Urk,554.0
2019,Urk,492.0
